Timestamp,Tvoj trenutni status,"Povprečna NETO urna postavka za delo, ki si ga opravil/a preko študentske napotnice.",V zadnjih treh mesecih sem povprečno delal/a na teden,Vrsta zaposlitve,Obseg dela,Povprečna mesečna BRUTO plača v zadnjih treh mesecih.,"Povprečni celoletni BRUTO dodatki (bonusi, delnice, RSU, drugi dodatki...)",Primarno tržišče delodajalca,Sedež delodajalca je,Koliko let si že zaposlen/a pri trenutnem delodajalcu?,Opravljaš delo na daljavo (remote work)?,Ali trenutno aktivno iščeš novo zaposlitev?,"Imaš odprt še s.p.? (""popoldanski s.p."")",Število različnih naročnikov v zadnjih 6 mesecih,Povprečen mesečni BRUTO prihodek v zadnjih 6ih mesecih,Koliko odstotkov LETNEGA prihodka ti predstavlja največji naročnik?,Primarno tržišče največjega naročnika je ,Sedež največjega naročnika je ,Znam naslednje programske jezike,Največ dela opravim kot...,Koliko let že programiraš?,Koliko let poklicno programiraš?,Identificiram se kot,Starost,Prebivam v...
10/2/2024 10:33:30,redno zaposlen/a,,,pogodba za določen čas,40 ur na teden (polni delovni čas),1500€ - 1999€,pod 5000€,Slovenija,Slovenija,manj kot 1 leto,"ne, delodajalec ne omogoča dela na daljavo",ne,ne,,,,,,"JavaScript, HTML/CSS (sass/scss/...), SQL, Java, Python, PHP, TypeScript",spletni razvijalec/ka (front-end),8 - 9 let,manj kot 1 leto,moški,19-25,osrednjeslovenska regija
10/2/2024 10:33:39,dijak/študent (delo opravljam prek študentske napotnice),"21,00 - 21,99€",40 ur (polni delovnik),,,,,,,,,,,,,,,,"JavaScript, HTML/CSS (sass/scss/...), SQL, Java, C#, Python, PHP, C++, C, TypeScript, Bash, Dart",spletni razvijalec/ka (full-stack),9 - 10 let,3 - 4 leta,moški,19-25,osrednjeslovenska regija
10/2/2024 10:36:58,redno zaposlen/a,,,pogodba za nedoločen čas,40 ur na teden (polni delovni čas),6500€ - 6999€,več kot 100000€,"tujina, ZDA","tujina, ZDA",6 - 7 let,"da, a manj kot polni delovni čas",ne,ne,,,,,,"Java, Python, C++",vodja ekipe (team lead),več kot 10 let,več kot 10 let,moški,41-50,podravska regija
10/2/2024 10:38:09,redno zaposlen/a,,,pogodba za nedoločen čas,40 ur na teden (polni delovni čas),2500€ - 2999€,5000€ - 9999€,Slovenija,Slovenija,manj kot 1 leto,"ne, delodajalec ne omogoča dela na daljavo",ne,ne,,,,,,"SQL, C#, Python",sistemski integrator/ka,2 - 3 leta,1 - 2 leti,moški,31-40,osrednjeslovenska regija
10/2/2024 10:45:52,redno zaposlen/a,,,pogodba za nedoločen čas,40 ur na teden (polni delovni čas),8500€ - 8999€,10000€ - 14999€,"tujina, Evropska unija",Slovenija,5 - 6 let,"da, za polni delovni čas",ne,da,5 - 9,3500€ - 3999€,pod 25 %,"tujina, drugo","tujina, Evropska unija","SQL, Terraform",vodja ekipe (team lead),6 - 7 let,6 - 7 let,moški,26-30,podravska regija
10/2/2024 10:48:28,redno zaposlen/a,,,pogodba za nedoločen čas,40 ur na teden (polni delovni čas),3000€ - 3499€,5000€ - 9999€,"tujina, Evropska unija","tujina, Evropska unija",3 - 4 leta,"da, za polni delovni čas",ne,ne,,,,,,"JavaScript, HTML/CSS (sass/scss/...), SQL, C#, Python, TypeScript, Ruby, Go, Bash",DevOps,več kot 10 let,6 - 7 let,moški,31-40,osrednjeslovenska regija
10/2/2024 10:55:38,redno zaposlen/a,,,pogodba za nedoločen čas,40 ur na teden (polni delovni čas),4000€ - 4499€,pod 5000€,"tujina, Evropska unija","tujina, Evropska unija",1 - 2 leti,"da, a manj kot polni delovni čas",da,ne,,,,,,"JavaScript, SQL, Java, TypeScript, Kotlin",DevOps,9 - 10 let,8 - 9 let,moški,26-30,osrednjeslovenska regija
10/2/2024 11:00:06,redno zaposlen/a,,,pogodba za nedoločen čas,40 ur na teden (polni delovni čas),4000€ - 4499€,pod 5000€,"tujina, Evropska unija","tujina, Evropska unija",4 - 5 let,"da, a manj kot polni delovni čas",ne,ne,,,,,,"SQL, Java, Python, Talend",spletni razvijalec/ka (back-end),več kot 10 let,8 - 9 let,ženska,31-40,osrednjeslovenska regija
10/2/2024 11:01:08,redno zaposlen/a,,,pogodba za nedoločen čas,40 ur na teden (polni delovni čas),7000€ - 7499€,več kot 100000€,"tujina, ZDA","tujina, ZDA",manj kot 1 leto,"da, za polni delovni čas",ne,da,2 - 4,5000€ - 5499€,85 - 99%,Slovenija,Slovenija,"Python, Go",specialist/ka strojnega učenja,8 - 9 let,8 - 9 let,moški,26-30,osrednjeslovenska regija
10/2/2024 11:03:01,redno zaposlen/a,,,pogodba za nedoločen čas,40 ur na teden (polni delovni čas),5500€ - 5999€,pod 5000€,"tujina, Evropska unija",Slovenija,7 - 8 let,"da, a manj kot polni delovni čas",ne,ne,,,,,,"JavaScript, HTML/CSS (sass/scss/...), SQL, TypeScript, solidity",vodja razvoja (CTO),več kot 10 let,več kot 10 let,moški,31-40,osrednjeslovenska regija
10/2/2024 11:06:31,redno zaposlen/a,,,pogodba za nedoločen čas,40 ur na teden (polni delovni čas),več kot 10000€,15000€ - 19999€,"tujina, ZDA",Slovenija,8 - 9 let,"da, a manj kot polni delovni čas",ne,ne,,,,,,"SQL, Python, Go",vodja ekipe (team lead),več kot 10 let,8 - 9 let,moški,26-30,osrednjeslovenska regija
10/2/2024 11:13:52,redno zaposlen/a,,,pogodba za nedoločen čas,40 ur na teden (polni delovni čas),2500€ - 2999€,pod 5000€,"tujina, Evropska unija",Slovenija,manj kot 1 leto,"da, a manj kot polni delovni čas",da,ne,,,,,,"JavaScript, HTML/CSS (sass/scss/...), SQL, Java, C#, Python, C++, C, TypeScript, Bash, Perl",razvijalec/ka embedded sistemov/aplikacij,6 - 7 let,4 - 5 let,moški,26-30,osrednjeslovenska regija
10/2/2024 11:18:26,delo opravljam prek s. p.,,,,,,,,,,,,,1,8500€ - 8999€,85 - 99%,"tujina, drugo","tujina, drugo","Python, C++, Go",drugo,več kot 10 let,5 - 6 let,moški,26-30,osrednjeslovenska regija
10/2/2024 11:22:50,delo opravljam prek s. p.,,,,,,,,,,,,,2 - 4,9500€ - 9999€,85 - 99%,"tujina, ZDA","tujina, ZDA","JavaScript, HTML/CSS (sass/scss/...), SQL, Java, TypeScript, Go, Scala, Kotlin",vodja razvoja (CTO),več kot 10 let,več kot 10 let,moški,41-50,osrednjeslovenska regija
10/2/2024 11:34:55,redno zaposlen/a,,,pogodba za nedoločen čas,40 ur na teden (polni delovni čas),5000€ - 5499€,65000€ - 69999€,"tujina, Evropska unija",Slovenija,več kot 10 let,"da, a manj kot polni delovni čas",ne,ne,,,,,,"SQL, Java",vodja razvoja (CTO),več kot 10 let,več kot 10 let,moški,41-50,osrednjeslovenska regija
10/2/2024 11:39:05,redno zaposlen/a,,,pogodba za nedoločen čas,40 ur na teden (polni delovni čas),6500€ - 6999€,več kot 100000€,"tujina, Evropska unija","tujina, Evropska unija",več kot 10 let,"ne, čeprav delodajalec omogoča delo na daljavo",ne,ne,,,,,,"JavaScript, HTML/CSS (sass/scss/...), SQL, TypeScript",vodja ekipe (team lead),več kot 10 let,več kot 10 let,moški,31-40,osrednjeslovenska regija
10/2/2024 11:41:28,redno zaposlen/a,,,pogodba za nedoločen čas,40 ur na teden (polni delovni čas),3500€ - 3999€,pod 5000€,Slovenija,Slovenija,3 - 4 leta,"da, a manj kot polni delovni čas",da,ne,,,,,,"SQL, Python",drugo,3 - 4 leta,2 - 3 leta,moški,26-30,jugovzhodna regija
10/2/2024 11:43:15,delo opravljam prek s. p.,,,,,,,,,,,,,1,9000€ - 9499€,100%,"tujina, ZDA","tujina, ZDA",Python,spletni razvijalec/ka (back-end),več kot 10 let,več kot 10 let,moški,31-40,osrednjeslovenska regija
10/2/2024 11:43:59,delo opravljam prek s. p.,,,,,,,,,,,,,2 - 4,8000€ - 8499€,85 - 99%,"tujina, ZDA","tujina, ZDA","Java, Swift, Kotlin",razvijalec/ka mobilnih aplikacij (Android),več kot 10 let,več kot 10 let,moški,41-50,goriška regija
10/2/2024 11:44:04,redno zaposlen/a,,,pogodba za nedoločen čas,40 ur na teden (polni delovni čas),4500€ - 4999€,pod 5000€,"tujina, Evropska unija","tujina, ZDA",2 - 3 leta,"da, za polni delovni čas",ne,ne,,,,,,"Java, Kotlin",razvijalec/ka mobilnih aplikacij (Android),9 - 10 let,8 - 9 let,moški,31-40,osrednjeslovenska regija
10/2/2024 11:46:28,redno zaposlen/a,,,pogodba za nedoločen čas,40 ur na teden (polni delovni čas),6500€ - 6999€,80000€ - 84999€,"tujina, Evropska unija","tujina, Evropska unija",1 - 2 leti,"da, a manj kot polni delovni čas",ne,ne,,,,,,"Java, TypeScript, Kotlin",drugo,več kot 10 let,več kot 10 let,moški,31-40,jugovzhodna regija
10/2/2024 11:47:28,redno zaposlen/a,,,pogodba za nedoločen čas,40 ur na teden (polni delovni čas),7000€ - 7499€,pod 5000€,"tujina, Evropska unija","tujina, Evropska unija",2 - 3 leta,"da, a manj kot polni delovni čas",ne,ne,,,,,,"JavaScript, HTML/CSS (sass/scss/...), SQL, Java, PHP, TypeScript, Bash",spletni razvijalec/ka (front-end),9 - 10 let,8 - 9 let,moški,26-30,osrednjeslovenska regija
10/2/2024 11:49:04,redno zaposlen/a,,,pogodba za nedoločen čas,40 ur na teden (polni delovni čas),3500€ - 3999€,50000€ - 54999€,Slovenija,Slovenija,5 - 6 let,"da, a manj kot polni delovni čas",ne,ne,,,,,,"JavaScript, HTML/CSS (sass/scss/...), SQL, Java, C#, C++, TypeScript, Bash, Perl",spletni razvijalec/ka (full-stack),več kot 10 let,več kot 10 let,moški,41-50,osrednjeslovenska regija
10/2/2024 11:50:39,redno zaposlen/a,,,pogodba za nedoločen čas,40 ur na teden (polni delovni čas),3000€ - 3499€,pod 5000€,Slovenija,"tujina, Evropska unija",manj kot 1 leto,"da, a manj kot polni delovni čas",ne,ne,,,,,,SQL,drugo,5 - 6 let,4 - 5 let,moški,26-30,jugovzhodna regija
10/2/2024 11:55:14,redno zaposlen/a,,,pogodba za nedoločen čas,40 ur na teden (polni delovni čas),3000€ - 3499€,pod 5000€,"tujina, Evropska unija",Slovenija,2 - 3 leta,"da, a manj kot polni delovni čas",ne,ne,,,,,,"SQL, Java, Python",spletni razvijalec/ka (back-end),več kot 10 let,6 - 7 let,moški,26-30,osrednjeslovenska regija
10/2/2024 11:55:51,redno zaposlen/a,,,pogodba za nedoločen čas,40 ur na teden (polni delovni čas),5000€ - 5499€,pod 5000€,Slovenija,Slovenija,9 - 10 let,"da, a manj kot polni delovni čas",ne,ne,,,,,,"JavaScript, HTML/CSS (sass/scss/...), SQL, Java, PHP, Go, Bash",vodja ekipe (team lead),več kot 10 let,več kot 10 let,moški,31-40,pomurska regija
10/2/2024 12:00:39,redno zaposlen/a,,,pogodba za nedoločen čas,40 ur na teden (polni delovni čas),4000€ - 4499€,5000€ - 9999€,"tujina, ZDA",Slovenija,3 - 4 leta,"da, za polni delovni čas",ne,ne,,,,,,"JavaScript, HTML/CSS (sass/scss/...), SQL, Java, C#, PHP, Scala",spletni razvijalec/ka (back-end),6 - 7 let,4 - 5 let,moški,26-30,osrednjeslovenska regija
